payload_length,decoded_length,normalized_length,special_char_ratio,digit_ratio,uppercase_ratio,lowercase_ratio,whitespace_ratio,entropy,compression_ratio,sql_keyword_count,sql_keyword_ratio,quote_count,comment_count,union_count,where_count,xss_tag_count,script_tag_count,event_handler_count,javascript_uri_count,angle_bracket_count,html_entity_count,cmd_keyword_count,shell_metachar_count,pipe_count,redirect_count,semicolon_count,ampersand_count,backtick_count,dot_slash_count,backslash_count,null_byte_count,sensitive_file_count,percent_sign_count,unicode_escape_count,html_escape_count,hex_pattern_count,word_count,avg_word_length,distinct_char_count,repeated_char_count,long_token_count,suspicious_pattern_count,encoding_layers,is_binary_looking,label,original_label,label_numeric
48.0,48.0,48.0,0.1875,0.14583333333333334,0.08333333333333333,0.5625,0.020833333333333332,0.5565460209844147,0.5,1.0,0.20833333333333334,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,23.5,24.0,0.0,1.0,0.0,0.0,0.0,0,0,0
126.0,124.0,126.0,0.19047619047619047,0.11904761904761904,0.07142857142857142,0.6111111111111112,0.007936507936507936,0.6119158105297325,0.30952380952380953,1.0,0.07936507936507936,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,62.5,39.0,0.0,1.0,0.0,1.0,0.0,0,0,0
57.0,57.0,57.0,0.17543859649122806,0.12280701754385964,0.07017543859649122,0.6140350877192983,0.017543859649122806,0.5640142945005393,0.45614035087719296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,26.0,0.0,1.0,0.0,0.0,0.0,0,0,0
125.0,123.0,125.0,0.168,0.088,0.056,0.68,0.008,0.6155164827936791,0.304,2.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,62.0,38.0,0.0,1.0,0.0,1.0,0.0,0,0,0
61.0,61.0,61.0,0.16393442622950818,0.11475409836065574,0.06557377049180328,0.639344262295082,0.01639344262295082,0.5619387347739779,0.4262295081967213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,30.0,26.0,0.0,1.0,0.0,0.0,0.0,0,0,0
71.0,71.0,71.0,0.16901408450704225,0.11267605633802817,0.056338028169014086,0.647887323943662,0.014084507042253521,0.5735282113454474,0.4084507042253521,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,35.0,29.0,0.0,1.0,0.0,0.0,0.0,0,0,0
66.0,66.0,66.0,0.15151515151515152,0.10606060606060606,0.06060606060606061,0.6666666666666666,0.015151515151515152,0.5561962706656756,0.3939393939393939,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,32.5,26.0,0.0,1.0,0.0,0.0,0.0,0,0,0
58.0,58.0,58.0,0.1724137931034483,0.1206896551724138,0.06896551724137931,0.6206896551724138,0.017241379310344827,0.5605908560897729,0.4482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.5,26.0,0.0,1.0,0.0,0.0,0.0,0,0,0
91.0,91.0,91.0,0.14285714285714285,0.07692307692307693,0.06593406593406594,0.7032967032967034,0.01098901098901099,0.5818543144133932,0.3516483516483517,2.0,0.21978021978021978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,45.0,32.0,0.0,1.0,0.0,0.0,0.0,0,0,0
57.0,57.0,57.0,0.17543859649122806,0.12280701754385964,0.07017543859649122,0.6140350877192983,0.017543859649122806,0.5648703460916866,0.45614035087719296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,28.0,26.0,0.0,1.0,0.0,0.0,0.0,0,0,0
